#,Skill code,Curriculum skill,Cat.,IXL category name,Reasoning,Step 1,Step 2,Step 3,Pipeline,Steps,Composed?,Changed in v2 re-pass
87,K.2,Find the constant of variation,K,Direct and inverse variation,Extract the invariant parameter from cases,Measure,,,Measure,1,Atomic,Was Generalize+Measure. k = y/x is a formula; this is Measure.
88,K.3,Graph a proportional relationship,K,Direct and inverse variation,Move a relation into a spatial representation,Represent,,,Represent,1,Atomic,
89,K.4,Write direct variation equations,K,Direct and inverse variation,Infer a general rule from given cases,Measure,Represent,,Measure -> Represent,2,Composed,Was Generalize+Represent. Template y=kx is given; find k then write it.
90,K.5,Write and solve direct variation equations,K,Direct and inverse variation,"Infer a rule, then satisfy a condition",Measure,Represent,Constrain,Measure -> Represent -> Constrain,3,Composed,Was Generalize+Constrain. Expanded to Measure -> Represent -> Constrain.
91,K.6,Identify direct variation and inverse variation,K,Direct and inverse variation,Distinguish two categories by their properties,Identify,,,Identify,1,Atomic,Was Identify+Compare. Same as Z.10.
92,K.7,Write inverse variation equations,K,Direct and inverse variation,Infer a general rule from given cases,Measure,Represent,,Measure -> Represent,2,Composed,Was Generalize+Represent. Same as K.4.
93,K.8,Write and solve inverse variation equations,K,Direct and inverse variation,"Infer a rule, then satisfy a condition",Measure,Represent,Constrain,Measure -> Represent -> Constrain,3,Composed,Was Generalize+Constrain. Expanded to Measure -> Represent -> Constrain.
94,L.1,Identify linear functions,L,Linear functions,Assign an object to a category by its properties,Identify,,,Identify,1,Atomic,
95,L.2,Find the slope of a graph,L,Linear functions,Quantify a rate from a representation,Measure,,,Measure,1,Atomic,
96,L.3,Find the slope from two points,L,Linear functions,Quantify a rate from given magnitudes,Measure,,,Measure,1,Atomic,
97,L.4,Find a missing coordinate using slope,L,Linear functions,Satisfy a rate condition to recover a value,Constrain,,,Constrain,1,Atomic,Was Constrain+Measure. Same as DD.1.
98,L.5,Slope-intercept form: find the slope and y-intercept,L,Linear functions,Extract parameters from a canonical form,Identify,,,Identify,1,Atomic,Was Identify+Transform. Reading parameters off a canonical form is Identify.
99,L.6,Slope-intercept form: graph an equation,L,Linear functions,Move symbols into a spatial representation,Represent,,,Represent,1,Atomic,
100,L.7,Slope-intercept form: write an equation from a graph,L,Linear functions,Move a spatial representation into symbols,Represent,,,Represent,1,Atomic,
101,L.8,Slope-intercept form: write an equation,L,Linear functions,Build a rule from given parameters,Represent,,,Represent,1,Atomic,"Was Represent+Generalize. Parameters are given; this is assembly, not inference."
102,L.9,Linear equations: solve for y,L,Linear functions,Rewrite into an equivalent isolated form,Transform,,,Transform,1,Atomic,
103,L.10,Slope-intercept form: write an equation from a table,L,Linear functions,"Infer a rule from cases, express symbolically",Generalize,Represent,,Generalize -> Represent,2,Composed,"Was Generalize+Represent, kept - genuine inference from a table."
104,L.11,Slope-intercept form: write an equation from a word problem,L,Linear functions,Translate a situation into a general rule,Represent,Generalize,,Represent -> Generalize,2,Composed,"Was Represent+Generalize, kept."
105,L.12,Write linear functions to solve word problems,L,Linear functions,Translate a situation into a general rule,Represent,Generalize,,Represent -> Generalize,2,Composed,"Was Represent+Generalize, kept."
106,L.13,Complete a table and graph a linear function,L,Linear functions,Move a rule across representations,Transform,Represent,,Transform -> Represent,2,Composed,Was Represent alone. Transform step made explicit.
107,L.14,"Compare linear functions: graphs, tables and equations",L,Linear functions,Judge relative properties across representations,Represent,Compare,,Represent -> Compare,2,Composed,
108,L.15,Write equations in standard form,L,Linear functions,Rewrite into an equivalent canonical form,Transform,,,Transform,1,Atomic,
109,L.16,Standard form: find x- and y-intercepts,L,Linear functions,Satisfy a zero condition to recover values,Constrain,,,Constrain,1,Atomic,Was Constrain alone. Unchanged.
110,L.17,Standard form: graph an equation,L,Linear functions,Move symbols into a spatial representation,Represent,,,Represent,1,Atomic,
111,L.18,Equations of horizontal and vertical lines,L,Linear functions,Match a special case to its symbolic form,Represent,,,Represent,1,Atomic,Was Represent+Identify. Matching to symbolic form is Represent.
112,L.19,Graph a horizontal or vertical line,L,Linear functions,Move symbols into a spatial representation,Represent,,,Represent,1,Atomic,
113,L.20,Point-slope form: graph an equation,L,Linear functions,Move symbols into a spatial representation,Represent,,,Represent,1,Atomic,
114,L.21,Point-slope form: write an equation,L,Linear functions,Build a rule from given parameters,Represent,,,Represent,1,Atomic,Was Represent+Generalize. Same as L.8.
115,L.22,Point-slope form: write an equation from a graph,L,Linear functions,Move a spatial representation into symbols,Represent,,,Represent,1,Atomic,
116,L.23,Slopes of parallel and perpendicular lines,L,Linear functions,Relate two rates by a fixed relationship,Measure,Compare,,Measure -> Compare,2,Composed,
117,L.24,Write an equation for a parallel or perpendicular line,L,Linear functions,"Satisfy a relational condition, then express it",Measure,Represent,,Measure -> Represent,2,Composed,"Was Constrain+Represent. Reordered: derive the slope, then write the equation."
118,L.25,Find the distance between a point and a line,L,Linear functions,Quantify a magnitude from a structure,Measure,,,Measure,1,Atomic,
119,L.26,Find the distance between two parallel lines,L,Linear functions,Quantify a magnitude from a structure,Measure,,,Measure,1,Atomic,
120,L.27,Transformations of linear functions,L,Linear functions,Map a function to its image under an operation,Transform,,,Transform,1,Atomic,
121,M.1,"Is (x, y) a solution to the system of equations?",M,Systems of linear equations,Test a candidate against conditions,Verify,,,Verify,1,Atomic,
122,M.2,Solve a system of equations by graphing,M,Systems of linear equations,Satisfy simultaneous conditions via a display,Represent,Constrain,,Represent -> Constrain,2,Composed,
123,M.3,Solve a system of equations by graphing: word problems,M,Systems of linear equations,"Translate, then satisfy simultaneous conditions",Represent,Constrain,,Represent -> Constrain,2,Composed,
124,M.4,Find the number of solutions to a system of equations by graphing,M,Systems of linear equations,Characterize a solution set from a display,Represent,Identify,,Represent -> Identify,2,Composed,
125,M.5,Find the number of solutions to a system of equations,M,Systems of linear equations,Characterize a solution set from structure,Transform,Identify,,Transform -> Identify,2,Composed,Was Identify alone. Transform step made explicit.
126,M.6,Classify a system of equations by graphing,M,Systems of linear equations,Assign to a category using a display,Represent,Identify,,Represent -> Identify,2,Composed,
127,M.7,Classify a system of equations,M,Systems of linear equations,Assign to a category by its properties,Transform,Identify,,Transform -> Identify,2,Composed,Was Identify alone. Transform step made explicit.
128,M.8,Solve a system of equations using substitution,M,Systems of linear equations,Find values satisfying simultaneous conditions,Constrain,,,Constrain,1,Atomic,
129,M.9,Solve a system of equations using substitution: word problems,M,Systems of linear equations,"Translate, then satisfy simultaneous conditions",Represent,Constrain,,Represent -> Constrain,2,Composed,
130,M.10,Solve a system of equations using elimination,M,Systems of linear equations,Find values satisfying simultaneous conditions,Constrain,,,Constrain,1,Atomic,
131,M.11,Solve a system of equations using elimination: word problems,M,Systems of linear equations,"Translate, then satisfy simultaneous conditions",Represent,Constrain,,Represent -> Constrain,2,Composed,
132,M.12,Solve a system of equations using any method,M,Systems of linear equations,Find values satisfying simultaneous conditions,Constrain,,,Constrain,1,Atomic,
133,M.13,Solve a system of equations using any method: word problems,M,Systems of linear equations,"Translate, then satisfy simultaneous conditions",Represent,Constrain,,Represent -> Constrain,2,Composed,
134,N.1,Identify monomials,N,Monomials,Assign an object to a category by its properties,Identify,,,Identify,1,Atomic,
135,N.2,Multiply monomials,N,Monomials,Rewrite a product in canonical form,Transform,,,Transform,1,Atomic,
136,N.3,Divide monomials,N,Monomials,Rewrite a quotient in canonical form,Transform,,,Transform,1,Atomic,
137,N.4,Multiply and divide monomials,N,Monomials,Rewrite in canonical form,Transform,,,Transform,1,Atomic,
138,N.5,Powers of monomials,N,Monomials,Rewrite using an equivalent-form rule,Transform,,,Transform,1,Atomic,
139,O.1,Polynomial vocabulary,O,Polynomials,Name parts and categories of a structure,Identify,,,Identify,1,Atomic,
140,O.2,Model polynomials with algebra tiles,O,Polynomials,Move symbols into a concrete representation,Represent,,,Represent,1,Atomic,
141,O.3,Add and subtract polynomials using algebra tiles,O,Polynomials,Combine within a concrete representation,Represent,Transform,,Represent -> Transform,2,Composed,
142,O.4,Add and subtract polynomials,O,Polynomials,Rewrite a combination in canonical form,Transform,,,Transform,1,Atomic,
143,O.5,Add polynomials to find perimeter,O,Polynomials,Assemble parts into a whole magnitude,Compose,Transform,,Compose -> Transform,2,Composed,Was Compose+Measure. Adding the side expressions is Transform.
144,O.6,Multiply a polynomial by a monomial,O,Polynomials,Rewrite a product in expanded form,Transform,,,Transform,1,Atomic,
145,O.7,Multiply two polynomials using algebra tiles,O,Polynomials,Expand a product within a concrete model,Represent,Transform,,Represent -> Transform,2,Composed,
146,O.8,Multiply two binomials,O,Polynomials,Rewrite a product in expanded form,Transform,,,Transform,1,Atomic,
147,O.9,Multiply two binomials: special cases,O,Polynomials,Apply a general pattern to rewrite a product,Transform,,,Transform,1,Atomic,"Was Transform+Generalize. Special-case products are stored patterns, applied not inferred."
148,O.10,Multiply polynomials,O,Polynomials,Rewrite a product in expanded form,Transform,,,Transform,1,Atomic,
149,P.1,GCF of monomials,P,Factoring,Break terms into shared components,Decompose,Compare,,Decompose -> Compare,2,Composed,Was Decompose alone. Compare step made explicit.
150,P.2,Factor out a monomial,P,Factoring,Break a structure into simpler components,Decompose,,,Decompose,1,Atomic,
151,P.3,Factor quadratics with leading coefficient 1,P,Factoring,Break a structure into simpler components,Decompose,,,Decompose,1,Atomic,
152,P.4,Factor quadratics with other leading coefficients,P,Factoring,Break a structure into simpler components,Decompose,,,Decompose,1,Atomic,
153,P.5,Factor quadratics using algebra tiles,P,Factoring,Decompose within a concrete representation,Represent,Decompose,,Represent -> Decompose,2,Composed,
154,P.6,Factor quadratics: special cases,P,Factoring,"Recognize a pattern, then decompose",Decompose,,,Decompose,1,Atomic,Was Decompose+Identify. Pattern recognition is part of Decompose's rule.
155,P.7,Factor by grouping,P,Factoring,Break a structure into simpler components,Decompose,,,Decompose,1,Atomic,
156,P.8,Factor polynomials,P,Factoring,Break a structure into simpler components,Decompose,,,Decompose,1,Atomic,
157,Q.1,Characteristics of quadratic functions,Q,Quadratic equations,Extract defining features of a structure,Identify,,,Identify,1,Atomic,
158,Q.2,Complete a function table: quadratic functions,Q,Quadratic equations,Move a rule across representations,Transform,Represent,,Transform -> Represent,2,Composed,Was Represent+Transform. Reordered as J.10.
159,Q.3,Solve a quadratic equation using square roots,Q,Quadratic equations,"Rewrite, then satisfy a condition",Transform,Constrain,,Transform -> Constrain,2,Composed,
160,Q.4,Solve a quadratic equation using the zero product property,Q,Quadratic equations,Use factored parts to satisfy a condition,Constrain,,,Constrain,1,Atomic,
161,Q.5,Solve a quadratic equation by factoring,Q,Quadratic equations,"Decompose, then satisfy a condition",Transform,Decompose,Constrain,Transform -> Decompose -> Constrain,3,Composed,Was Decompose+Constrain. Cap hid a step: Transform -> Decompose -> Constrain.
162,Q.6,Complete the square,Q,Quadratic equations,Rewrite into an equivalent canonical form,Transform,,,Transform,1,Atomic,
163,Q.7,Solve a quadratic equation by completing the square,Q,Quadratic equations,"Rewrite, then satisfy a condition",Transform,Constrain,,Transform -> Constrain,2,Composed,
164,Q.8,Solve a quadratic equation using the quadratic formula,Q,Quadratic equations,Find values satisfying a condition,Constrain,,,Constrain,1,Atomic,
165,Q.9,Using the discriminant,Q,Quadratic equations,Quantify a feature to characterize a solution set,Measure,Identify,,Measure -> Identify,2,Composed,"Was Identify+Measure. Reordered: compute discriminant, then classify."
166,R.1,Identify the direction a parabola opens,R,Parabolas,Extract a feature from a structure,Identify,,,Identify,1,Atomic,
167,R.2,Find the vertex of a parabola,R,Parabolas,Locate a defining feature,Measure,,,Measure,1,Atomic,Was Identify+Measure. -b/2a is a computation; Measure.
168,R.3,Find the axis of symmetry of a parabola,R,Parabolas,Locate a defining feature,Measure,,,Measure,1,Atomic,Was Identify+Measure. Same as R.2.
169,R.4,Write equations of parabolas in vertex form from graphs,R,Parabolas,Move a display into symbolic form,Represent,,,Represent,1,Atomic,
170,R.5,Write equations of parabolas in vertex form using properties,R,Parabolas,Build a rule from given features,Represent,,,Represent,1,Atomic,Was Represent+Generalize. Properties are given; template is applied.
171,R.6,Graph parabolas,R,Parabolas,Move symbols into a spatial representation,Represent,,,Represent,1,Atomic,
172,S.1,"Identify linear, quadratic and exponential functions from graphs",S,"Functions: linear, quadratic, exponential",Distinguish categories by their properties,Identify,,,Identify,1,Atomic,Was Identify+Compare. Same as Z.10.
173,S.2,"Identify linear, quadratic and exponential functions from tables",S,"Functions: linear, quadratic, exponential",Distinguish categories by their properties,Identify,,,Identify,1,Atomic,Was Identify+Compare. Same as Z.10.
174,S.3,"Write linear, quadratic and exponential functions",S,"Functions: linear, quadratic, exponential",Infer a general rule from given cases,Generalize,Represent,,Generalize -> Represent,2,Composed,"Was Generalize+Represent, kept."
175,S.4,Linear functions over unit intervals,S,"Functions: linear, quadratic, exponential",Quantify change and compare it across intervals,Measure,Compare,,Measure -> Compare,2,Composed,
176,S.5,Exponential functions over unit intervals,S,"Functions: linear, quadratic, exponential",Quantify change and compare it across intervals,Measure,Compare,,Measure -> Compare,2,Composed,
177,S.6,Describe linear and exponential growth and decay,S,"Functions: linear, quadratic, exponential",Characterize a global behaviour pattern,Identify,,,Identify,1,Atomic,Was Identify+Generalize. Naming a growth pattern is classification.
178,T.1,Rational functions: asymptotes and excluded values,T,Rational functions and expressions,Find values a condition forbids or approaches,Constrain,,,Constrain,1,Atomic,Was Constrain+Identify. Excluded values are the Constrain output; no second step.
179,T.2,Simplify complex fractions,T,Rational functions and expressions,Rewrite an equivalent representation,Transform,,,Transform,1,Atomic,
180,T.3,Simplify rational expressions,T,Rational functions and expressions,"Decompose, then rewrite in reduced form",Decompose,Transform,,Decompose -> Transform,2,Composed,"Was Transform+Decompose. Reordered: factor first, then reduce."
181,T.4,Multiply and divide rational expressions,T,Rational functions and expressions,Rewrite an equivalent representation,Transform,,,Transform,1,Atomic,
182,T.5,Divide polynomials,T,Rational functions and expressions,Break a structure into quotient and remainder,Decompose,,,Decompose,1,Atomic,Was Decompose+Transform. Polynomial division is Decompose alone.
183,T.6,Add and subtract rational expressions,T,Rational functions and expressions,Rewrite an equivalent representation,Transform,,,Transform,1,Atomic,
184,T.7,Solve rational equations,T,Rational functions and expressions,Find values satisfying a condition,Transform,Constrain,,Transform -> Constrain,2,Composed,Was Constrain alone. Transform step made explicit.
185,U.1,Find the centre of a circle,U,Circles in the coordinate plane,Extract a defining feature,Identify,,,Identify,1,Atomic,
186,U.2,Find the radius or diameter of a circle,U,Circles in the coordinate plane,Quantify a magnitude of a structure,Measure,,,Measure,1,Atomic,
187,U.3,Write equations of circles in standard form from graphs,U,Circles in the coordinate plane,Move a display into symbolic form,Represent,,,Represent,1,Atomic,
188,U.4,Write equations of circles in standard form using properties,U,Circles in the coordinate plane,Build a rule from given features,Represent,,,Represent,1,Atomic,Was Represent+Generalize. Same as R.5.
189,U.5,Graph circles,U,Circles in the coordinate plane,Move symbols into a spatial representation,Represent,,,Represent,1,Atomic,
190,V.1,Identify hypotheses and conclusions,V,Logic,Split a statement into its parts,Decompose,,,Decompose,1,Atomic,Was Decompose+Identify. Splitting the statement is the whole act.
191,V.2,Counterexamples,V,Logic,Refute a claim by exhibiting a failing case,Verify,,,Verify,1,Atomic,
192,V.3,Truth tables,V,Logic,Move logical structure into a systematic display,Represent,,,Represent,1,Atomic,Was Represent+Verify. Building the table is Represent.
193,V.4,Truth values,V,Logic,Evaluate whether a statement holds,Verify,,,Verify,1,Atomic,
194,V.5,Conditionals,V,Logic,Express a relationship in canonical logical form,Represent,,,Represent,1,Atomic,Was Represent+Identify. Same as L.18.
195,V.6,Negations,V,Logic,Rewrite a statement under an operation,Transform,,,Transform,1,Atomic,
196,V.7,"Converses, inverses and contrapositives",V,Logic,Rewrite a statement under structural operations,Transform,,,Transform,1,Atomic,
197,V.8,Biconditionals,V,Logic,Join two conditionals and test them together,Compose,Verify,,Compose -> Verify,2,Composed,"Was Compose+Verify, kept."
198,W.1,Estimate metric measurements,W,Measurement,Assign a plausible magnitude to a quantity,Measure,,,Measure,1,Atomic,
199,W.2,Convert rates and measurements: metric units,W,Measurement,Rewrite a magnitude in another unit,Transform,,,Transform,1,Atomic,Was Transform+Measure. Unit conversion is Transform alone.
200,W.3,Estimate imperial measurements of length,W,Measurement,Assign a plausible magnitude to a quantity,Measure,,,Measure,1,Atomic,
201,W.4,Convert rates and measurements: imperial units of length,W,Measurement,Rewrite a magnitude in another unit,Transform,,,Transform,1,Atomic,Was Transform+Measure. Same as W.2.
202,W.5,Unit rates,W,Measurement,Quantify a ratio as a normalized magnitude,Measure,,,Measure,1,Atomic,
203,W.6,Unit prices with imperial length conversions,W,Measurement,"Rewrite units, then quantify a rate",Transform,Measure,,Transform -> Measure,2,Composed,"Was Transform+Measure, kept, order made explicit."
